step,NE_L0,NE_L1,NE_L2,NE_L3,NW_L0,NW_L1,NW_L2,NW_L3,SE_L0,SE_L1,SE_L2,SE_L3,SW_L0,SW_L1,SW_L2,SW_L3
114,8.77,0.0,20.01,7.95,11.91,15.73,2.74,0.0,0.0,8.24,5.26,3.21,6.01,0.0,8.89,11.58
115,10.47,1.3,9.23,9.23,13.48,3.22,3.99,1.24,0.0,9.42,6.51,4.37,7.53,1.13,10.01,0.0
116,12.2,2.42,0.0,20.0,14.88,0.0,5.27,2.29,1.42,0.0,7.78,5.42,9.06,2.16,11.19,0.0
117,13.76,3.72,1.22,8.52,2.5,2.21,6.47,3.54,2.9,0.0,8.96,6.51,10.61,3.33,0.05,1.07
118,15.42,4.91,2.6,0.0,0.0,3.31,7.83,4.63,4.49,0.0,10.31,17.98,0.86,4.48,1.18,2.15
119,16.98,6.13,3.86,0.0,0.0,4.49,9.1,5.8,5.94,1.23,11.58,6.73,0.0,14.07,2.44,3.25
120,18.41,7.46,5.19,0.0,0.0,5.69,20.44,6.85,7.38,2.51,12.94,0.0,2.89,16.18,3.62,4.44
121,7.87,8.6,6.6,1.15,1.62,6.79,8.28,7.91,8.78,3.64,2.2,1.27,0.0,18.31,4.87,5.44
122,0.0,9.95,8.01,2.33,3.14,8.02,0.0,9.15,10.39,4.84,0.0,2.36,2.77,5.62,6.13,6.47
123,1.64,0.0,9.32,3.53,4.65,9.14,1.37,0.0,0.0,6.08,1.39,3.49,5.47,0.0,7.4,7.63
124,3.21,0.0,20.54,4.79,6.11,0.0,2.58,1.12,1.46,7.28,2.75,4.62,6.81,0.0,8.73,8.77
125,4.77,0.0,25.05,6.14,7.6,0.0,4.02,2.4,0.09,8.52,4.11,5.89,8.15,0.0,9.97,9.98
126,6.36,1.28,13.83,15.97,9.15,0.0,5.44,3.67,0.0,9.7,5.38,7.13,9.79,1.21,11.38,0.0
127,8.12,2.66,1.46,17.32,10.7,0.0,6.94,4.97,1.65,0.0,6.67,8.33,11.2,2.36,0.83,1.11
128,9.92,3.86,2.88,4.9,0.0,2.36,8.35,6.19,3.25,0.0,8.24,9.53,0.91,3.58,2.14,2.38
129,11.62,5.08,4.42,0.0,0.0,3.6,9.73,7.49,5.1,1.35,9.74,7.37,0.0,4.82,3.39,3.5
130,13.32,6.5,6.07,0.0,0.0,4.83,21.04,8.68,6.8,2.65,11.08,0.0,0.0,15.09,4.78,4.62
131,15.24,7.77,7.5,0.0,1.57,6.08,9.22,9.86,8.63,3.95,12.71,0.0,11.71,4.95,6.31,5.96
132,4.24,9.18,9.14,1.37,3.09,7.41,0.0,11.24,10.56,5.18,14.33,0.0,14.72,0.0,7.81,7.15
133,0.0,10.61,10.57,2.65,4.91,8.6,1.42,0.0,12.51,6.44,2.35,1.41,17.71,0.0,9.22,8.51
134,1.95,11.86,0.0,4.05,6.67,0.0,3.0,1.22,0.0,7.84,3.99,2.65,19.48,1.36,10.65,0.0
135,3.79,0.0,1.54,5.33,8.49,0.0,4.52,2.52,12.32,0.0,5.42,3.93,8.11,2.65,12.22,1.26
136,5.62,0.0,14.16,17.02,10.44,0.0,5.91,3.77,19.09,0.0,7.02,5.16,0.0,3.95,13.79,2.42
137,7.69,1.3,15.77,4.22,0.0,1.33,7.6,5.15,21.13,0.0,8.51,14.52,1.76,5.14,1.39,3.68
138,9.47,2.68,17.51,0.0,1.99,13.71,0.0,6.35,22.87,1.45,9.94,1.87,3.69,14.01,0.0,4.95
139,11.47,4.23,19.11,0.0,3.72,0.83,1.65,7.57,11.8,2.95,11.65,3.09,5.65,2.09,1.57,6.26
140,13.84,5.84,21.01,0.0,6.02,0.0,14.88,9.08,0.0,4.32,13.34,4.56,18.01,0.0,3.32,7.77
141,15.91,7.42,9.54,1.29,7.88,1.4,18.95,0.0,0.0,5.73,14.86,5.86,5.57,1.18,4.72,9.11
142,18.03,8.88,0.0,2.56,9.61,2.7,6.66,1.21,1.76,7.06,3.28,7.29,0.0,2.39,6.09,10.33
143,7.35,10.21,1.5,4.02,11.64,4.17,0.0,2.48,3.74,8.29,0.0,8.5,1.73,3.74,7.68,0.0
144,0.0,11.77,3.26,13.85,0.0,5.62,1.69,3.84,5.69,9.68,1.54,0.0,3.5,5.03,9.12,0.0
145,2.1,13.23,15.77,1.4,0.0,6.95,3.13,5.27,7.44,11.13,3.11,0.0,5.1,6.37,10.58,0.0
146,4.22,14.66,21.42,0.0,2.07,0.0,4.59,6.66,19.58,12.49,4.71,0.09,7.02,7.72,12.09,0.0
147,6.14,1.5,22.99,1.42,3.82,0.0,6.07,8.03,15.6,13.78,6.27,2.3,19.88,9.01,1.12,1.09
148,8.17,0.0,24.56,2.83,5.7,0.0,7.69,9.43,1.72,14.95,7.72,4.53,9.24,10.19,2.42,2.38
